Key,SourceString
arm locked in a YOU'RE ON point at a camera that faces nothing.,arm locked in a YOU'RE ON point at a camera that faces nothing.
F1 · THE FADER,F1 · THE FADER
held it through sign-off; finished the way a gesture is finished,held it through sign-off; finished the way a gesture is finished
"FINAL LEDGER LINE, steady:","FINAL LEDGER LINE, steady:"
"Beneath it, another hand, block capitals:","Beneath it, another hand, block capitals:"
CUE GIVEN.,CUE GIVEN.
4a · DEAD AIR · HIS HAND,4a · DEAD AIR · HIS HAND
SHEET · %d/4,SHEET · %d/4
NIGHT · ,NIGHT · 
DAY %d · ,DAY %d · 
SIGNED · %s · %s line(s) of paper left,SIGNED · %s · %s line(s) of paper left
%s · NO PAPER. The log does not forgive on Late Night.,%s · NO PAPER. The log does not forgive on Late Night.
TBC: %s  (T),TBC: %s  (T)
A CRATE · Vess is hovering (E),A CRATE · Vess is hovering (E)
"VESS · 'Storage auction. Paid cash. Unit was under CRAIK, E. That's Edith. She kept everything.'","VESS · 'Storage auction. Paid cash. Unit was under CRAIK, E. That's Edith. She kept everything.'"
"VESS · 'Tapes dated after the fire. After. Tell me what that means, because I've stopped being able to say it out loud.'","VESS · 'Tapes dated after the fire. After. Tell me what that means, because I've stopped being able to say it out loud.'"
The seance reel is on the bench now. He would not carry it further than that.,The seance reel is on the bench now. He would not carry it further than that.
RESTORATION · INVARIANTS SCORECARD · bot=%s minutes=%.0f\n,RESTORATION · INVARIANTS SCORECARD · bot=%s minutes=%.0f\n
I01 warn-precedes-strike: N/A (no coverage log)\nI02 no-strike-thru-wall: N/A\nI22 heard-noise-attribution: N/A\n,I01 warn-precedes-strike: N/A (no coverage log)\nI02 no-strike-thru-wall: N/A\nI22 heard-noise-attribution: N/A\n
WARN ,WARN 
STRIKE ,STRIKE 
toward heard noise,toward heard noise
I01 warn-precedes-strike: %s\n,I01 warn-precedes-strike: %s\n
FAIL x%d,FAIL x%d
I02 no-strike-thru-wall: %s\n,I02 no-strike-thru-wall: %s\n
I22 heard-noise-attribution: %s (%d attributed)\n,I22 heard-noise-attribution: %s (%d attributed)\n
I07 cascade-liveness: N/A (cascade did not run)\n,I07 cascade-liveness: N/A (cascade did not run)\n
I07 cascade-liveness: FAIL (violation logged)\n,I07 cascade-liveness: FAIL (violation logged)\n
I07 cascade-liveness: PASS (%d checks)\n,I07 cascade-liveness: PASS (%d checks)\n
I06 fail-forward-finale: %s\n,I06 fail-forward-finale: %s\n
FAIL (fail bot produced no premiere log),FAIL (fail bot produced no premiere log)
club auto-fix,club auto-fix
FAIL (slow fixes x%d),FAIL (slow fixes x%d)
WEAK (no incidents rolled),WEAK (no incidents rolled)
"I06 fail-forward-finale: %s (%d incidents, %d auto-fixed)\n","I06 fail-forward-finale: %s (%d incidents, %d auto-fixed)\n"
a key,a key
The tally lights swap. Camera one claims it is not program.,The tally lights swap. Camera one claims it is not program.
Half the house lights drop. The club murmurs an apology.,Half the house lights drop. The club murmurs an apology.
The boom drifts into frame. Somebody's grandson is so sorry.,The boom drifts into frame. Somebody's grandson is so sorry.
The cue cards shuffle themselves. Vess swears he stacked them.,The cue cards shuffle themselves. Vess swears he stacked them.
TALLY BUS RESET · the lights agree with reality again.,TALLY BUS RESET · the lights agree with reality again.
"HOUSE DIMMER RESTORED · the room comes back, embarrassed.","HOUSE DIMMER RESTORED · the room comes back, embarrassed."
BOOM WINCHED · the frame is clean.,BOOM WINCHED · the frame is clean.
"CARDS RESTACKED · in Vess's order, which was right.","CARDS RESTACKED · in Vess's order, which was right."
"THE FLOOR MANAGER · 'In five, four...' The hands do the rest.","THE FLOOR MANAGER · 'In five, four...' The hands do the rest."
CUE 1 · COLD OPEN · cut to camera one (1) · stand the mark · SPACE,CUE 1 · COLD OPEN · cut to camera one (1) · stand the mark · SPACE
"RITA · 'Welcome back to the Gladhouse, friends. It's a special night.'","RITA · 'Welcome back to the Gladhouse, friends. It's a special night.'"
"RITA · 'It's our last night.'  CHUM, warm as ever: 'Ohhh, don't be sad!'","RITA · 'It's our last night.'  CHUM, warm as ever: 'Ohhh, don't be sad!'"
CHUM · 'Every good day ends with a goodnight. That's how you know it was good.',CHUM · 'Every good day ends with a goodnight. That's how you know it was good.'
The cart deck loses power. The club is helping.,The cart deck loses power. The club is helping.
CUE 2 · RESTORE THE CART DECK AT THE PATCH BAY,CUE 2 · RESTORE THE CART DECK AT THE PATCH BAY
TAKE %d · from the top of the cue.,TAKE %d · from the top of the cue.
CUE 2 · THE SONG · camera one (1) · back to the mark · SPACE,CUE 2 · THE SONG · camera one (1) · back to the mark · SPACE
EVERYONE · 'Close the door and dim the light. Fold the day away.',EVERYONE · 'Close the door and dim the light. Fold the day away.'
'Everyone we love is home. And no one has to stay.','Everyone we love is home. And no one has to stay.'
"VESS, at the final breaker, not looking at you.","VESS, at the final breaker, not looking at you."
VESS · 'The margin. You wrote my name. Somebody's name should be on something. Go finish it.',VESS · 'The margin. You wrote my name. Somebody's name should be on something. Go finish it.'
"The handle drops. The lights hold. On every monitor at once: VESS at the breaker, mid-","The handle drops. The lights hold. On every monitor at once: VESS at the breaker, mid-"
"bars. The pin, fused into the enamel. The record was a call sheet all along.","bars. The pin, fused into the enamel. The record was a call sheet all along."
taken at the breaker she kept; the credit was the casting,taken at the breaker she kept; the credit was the casting
"The final breaker. A plastic pin, fused in the enamel, marks where a hand was.","The final breaker. A plastic pin, fused in the enamel, marks where a hand was."
MAIN BUS · earn the retake (E),MAIN BUS · earn the retake (E)
BLACKOUT · EARN THE RETAKE AT THE PATCH BAY,BLACKOUT · EARN THE RETAKE AT THE PATCH BAY
The final breaker. VESS. The handle. The dark.,The final breaker. VESS. The handle. The dark.
Again. The dark is patient.,Again. The dark is patient.
"The final break arrives, and the rundown simply ends.","The final break arrives, and the rundown simply ends."
"The program closes itself, correctly, using the ending it was given.","The program closes itself, correctly, using the ending it was given."
FINAL BREAK · SPACE places for cue three · Q divert to the dead room,FINAL BREAK · SPACE places for cue three · Q divert to the dead room
The sign-off ends three rooms away. The window is gone. Places.,The sign-off ends three rooms away. The window is gone. Places.
"CUE 3 · CLOSE THE HOUSE · the little door, by hand","CUE 3 · CLOSE THE HOUSE · the little door, by hand"
Now close it. On camera.,Now close it. On camera.
The house is closed. The studio holds its breath on purpose.,The house is closed. The studio holds its breath on purpose.
"The premiere begins on schedule, because it was never waiting on anyone.","The premiere begins on schedule, because it was never waiting on anyone."
The monitors put up the first title card: HOSTED BY RITA IVORI.,The monitors put up the first title card: HOSTED BY RITA IVORI.
SONGS BY RITA IVORI. CRAFT BY RITA IVORI. AUDIENCE: RITA IVORI.,SONGS BY RITA IVORI. CRAFT BY RITA IVORI. AUDIENCE: RITA IVORI.
"You are the only name left, and the show has never once had a casting problem.","You are the only name left, and the show has never once had a casting problem."
Cut away from a smile. Cut back to an empty chair.,Cut away from a smile. Cut back to an empty chair.
"Cut back to something half-resolved, interlaced, still trying to applaud.","Cut back to something half-resolved, interlaced, still trying to applaud."
A seat empties between frames. The applause continues at former strength.,A seat empties between frames. The applause continues at former strength.
"[A CHAIR, BETWEEN FRAMES]","[A CHAIR, BETWEEN FRAMES]"
Coverage must come from somewhere. THE FLOOR MANAGER steps into frame,Coverage must come from somewhere. THE FLOOR MANAGER steps into frame
and gives YOU'RE ON to a camera that is not on the run sheet.,and gives YOU'RE ON to a camera that is not on the run sheet.
"The unlisted camera accepts him. The frame he entered never cuts away, because nothing is switched to it.","The unlisted camera accepts him. The frame he entered never cuts away, because nothing is switched to it."
[YOU'RE ON · TO NOTHING LISTED],[YOU'RE ON · TO NOTHING LISTED]
F2 · THE UNLISTED CAMERA,F2 · THE UNLISTED CAMERA
cued a camera the run sheet never carried,cued a camera the run sheet never carried
"No one reaches for the master fader. So you do, first, before the run.","No one reaches for the master fader. So you do, first, before the run."
The sign-off needs the master fader held through to black. He is already reaching for it.,The sign-off needs the master fader held through to black. He is already reaching for it.
"SPACE · let him hold it · E · hold it yourself first, then run late","SPACE · let him hold it · E · hold it yourself first, then run late"
His hand settles on the fader. The other rises: YOU'RE ON. Go.,His hand settles on the fader. The other rises: YOU'RE ON. Go.
HOLD THE FADER · the transmitter argues through your arm,HOLD THE FADER · the transmitter argues through your arm
Your right arm takes the argument. It will keep a little of it. Now run.,Your right arm takes the argument. It will keep a little of it. Now run.
THE LAST CROSSING · reach the little door · you are not in this broadcast; nothing on the log protects you,THE LAST CROSSING · reach the little door · you are not in this broadcast; nothing on the log protects you
CHUM · ON HIS MARK,CHUM · ON HIS MARK
AUX PANEL · resets (E),AUX PANEL · resets (E)
BOOM WINCH · crank (E),BOOM WINCH · crank (E)
CARD STAND · restack (E),CARD STAND · restack (E)
 · PGM CAM %d, · PGM CAM %d
 · INCIDENT: , · INCIDENT: 
 · ON MARK, · ON MARK
"The tally is lying. Camera one IS program. Trust the mark, not the light.","The tally is lying. Camera one IS program. Trust the mark, not the light."
You call it blind. Correctly.,You call it blind. Correctly.
"Hold. The boom is in frame. Winch it, or wait it out.","Hold. The boom is in frame. Winch it, or wait it out."
Wrong camera is program. The Floor Manager's hand does not move.,Wrong camera is program. The Floor Manager's hand does not move.
Nothing wrong here right now. The club appreciates the diligence.,Nothing wrong here right now. The club appreciates the diligence.
fixed by hand,fixed by hand
RESOLVED %s (%s) t=%.1f,RESOLVED %s (%s) t=%.1f
"INCIDENT %s (fail_takes %d, interval %.0f)","INCIDENT %s (fail_takes %d, interval %.0f)"
THE CLUB IS HELPING · ,THE CLUB IS HELPING · 
LIVENESS VIOLATION · the panel is gone. File this.,LIVENESS VIOLATION · the panel is gone. File this.
VIOLATION · console invalid,VIOLATION · console invalid
OK · console valid · window holds waived · stage %d,OK · console valid · window holds waived · stage %d
[day %d] %s,[day %d] %s
"Every monitor in the compound cuts to the same channel, on the same frame.","Every monitor in the compound cuts to the same channel, on the same frame."
"Doors seal on schedule, not in anger.","Doors seal on schedule, not in anger."
"MERLE · 'Fifty years, and we have a premiere. Lock-in's just till broadcast, dear.'","MERLE · 'Fifty years, and we have a premiere. Lock-in's just till broadcast, dear.'"
SEALED FOR BROADCAST · lock-in's just till air,SEALED FOR BROADCAST · lock-in's just till air
LIBRARY LANDING,LIBRARY LANDING
%s · %s · no paper. walk to the next station.,%s · %s · no paper. walk to the next station.
%s · %s · sign the log (E) · unlimited paper,%s · %s · sign the log (E) · unlimited paper
%s · %s · sign the log (E) · %d line(s) left,%s · %s · sign the log (E) · %d line(s) left
The next line is not blank.,The next line is not blank.
Your handwriting. Tomorrow's date.,Your handwriting. Tomorrow's date.
You check the loops of the R the way you check a stranger's teeth. They are yours.,You check the loops of the R the way you check a stranger's teeth. They are yours.
FACILITY MAP · %s to close · amber: landmarks · dot: you,FACILITY MAP · %s to close · amber: landmarks · dot: you
in the doorway,in the doorway
in her chair,in her chair
at the kettle,at the kettle
MERLE · %s (E),MERLE · %s (E)
"She says nothing. Her hands are empty and open, watching the pen.","She says nothing. Her hands are empty and open, watching the pen."
MERLE · 'You'll be wonderful. You were always going to be.',MERLE · 'You'll be wonderful. You were always going to be.'
MERLE · 'The whole world gets to be carried now.',MERLE · 'The whole world gets to be carried now.'
MERLE · 'The degausser hums at night. I hear it too.' Her hands keep drying the plate.,MERLE · 'The degausser hums at night. I hear it too.' Her hands keep drying the plate.
"MERLE · 'Oh, look at your gloves. You brought your own gloves.'","MERLE · 'Oh, look at your gloves. You brought your own gloves.'"
MERLE · 'He asks so many questions. You ask the right amount. I can tell.',MERLE · 'He asks so many questions. You ask the right amount. I can tell.'
"MERLE · 'You've given us back a piece of our childhood, do you know that?'","MERLE · 'You've given us back a piece of our childhood, do you know that?'"
"MERLE · 'I was seven. Route 9, the culvert end, past where the county stopped mowing.'","MERLE · 'I was seven. Route 9, the culvert end, past where the county stopped mowing.'"
"'I walked out after a dog that wasn't mine, and the light went, and the corn does not care how loud a girl is.'","'I walked out after a dog that wasn't mine, and the light went, and the corn does not care how loud a girl is.'"
"Her hands, for once, empty and open. 'And then the dark got warmer. Fur like a coat closet.'","Her hands, for once, empty and open. 'And then the dark got warmer. Fur like a coat closet.'"
"'It carried me the whole way singing the closing song, and it set me down where the porch light reached.'","'It carried me the whole way singing the closing song, and it set me down where the porch light reached.'"
'The papers said a searcher found me. No searcher sings.','The papers said a searcher found me. No searcher sings.'
"'So bring me every date and every gap and every terrible arithmetic, and I will hold them. I promise you I will hold them.'","'So bring me every date and every gap and every terrible arithmetic, and I will hold them. I promise you I will hold them.'"
'But I was carried. You don't vote against being carried.','But I was carried. You don't vote against being carried.'
NO SIGNAL,NO SIGNAL
KILLED · RE-PATCH AT PB,KILLED · RE-PATCH AT PB
A breaker lets go somewhere below. A feed drops off the board.,A breaker lets go somewhere below. A feed drops off the board.
"Behind you, unhurried: a hummed bar of the closing song.","Behind you, unhurried: a hummed bar of the closing song."
The hall behind you is a hall. The patch bay can fix the rest.,The hall behind you is a hall. The patch bay can fix the rest.
OPTIONS · THE BOOTH,OPTIONS · THE BOOTH
BEFORE THE SHOW · set your hands and eyes. O reopens this anytime.,BEFORE THE SHOW · set your hands and eyes. O reopens this anytime.
MASTER VOLUME,MASTER VOLUME
MOUSE SENSITIVITY,MOUSE SENSITIVITY
TBC · steadier tape (T),TBC · steadier tape (T)
PHOTOSENSITIVITY-SAFE (P),PHOTOSENSITIVITY-SAFE (P)
UI TEXT SIZE,UI TEXT SIZE
CAPTIONS · significant sounds,CAPTIONS · significant sounds
"ASSIST · wider beats, slower clocks, hold E to be still","ASSIST · wider beats, slower clocks, hold E to be still"
"REMAP · click, then press a key","REMAP · click, then press a key"
CLOSE (O),CLOSE (O)
PRESS A KEY,PRESS A KEY
PANEL · RESTORE CIRCUIT B (E) · order matters,PANEL · RESTORE CIRCUIT B (E) · order matters
PANEL · RESTORE CIRCUIT C (E),PANEL · RESTORE CIRCUIT C (E)
PATCHBAY · dead feed on the board · re-patch (E),PATCHBAY · dead feed on the board · re-patch (E)
CONTROL RUN,CONTROL RUN
STAGE HALL,STAGE HALL
PATCHBAY · %s live · re-route (E),PATCHBAY · %s live · re-route (E)
"E · restore circuit B yourself · Q · GET VESS, he knows the order","E · restore circuit B yourself · Q · GET VESS, he knows the order"
"CIRCUIT B RESTORED · half the dark stands down. B before C, the way the panel is labeled.","CIRCUIT B RESTORED · half the dark stands down. B before C, the way the panel is labeled."
CIRCUIT C RESTORED · the building remembers its own light.,CIRCUIT C RESTORED · the building remembers its own light.
RE-PATCHED · the feed climbs back onto the board.,RE-PATCHED · the feed climbs back onto the board.
PATCHED · %s live · %s dark. The budget is the budget.,PATCHED · %s live · %s dark. The budget is the budget.
You call down the dark corridor. He comes because someone finally asked.,You call down the dark corridor. He comes because someone finally asked.
"'B before C,' he says, 'obviously,' and both circuits close under his hands in eleven seconds.","'B before C,' he says, 'obviously,' and both circuits close under his hands in eleven seconds."
"Then he keeps walking. Past B. Past C. To circuit F, the one with the marshal's tie, bare-handed, to prove the theory.","Then he keeps walking. Past B. Past C. To circuit F, the one with the marshal's tie, bare-handed, to prove the theory."
The transmitter that could not be de-energized includes him now. His outline refreshes at sixty fields a second.,The transmitter that could not be de-energized includes him now. His outline refreshes at sixty fields a second.
"[MAINS HUM, SHAPED LIKE A STANDING PERSON]","[MAINS HUM, SHAPED LIKE A STANDING PERSON]"
V2 · THE UNCREDITED FIX,V2 · THE UNCREDITED FIX
interlaced at circuit F; nobody thanked her first,interlaced at circuit F; nobody thanked her first
A DOCUMENT,A DOCUMENT
%s · read (E again),%s · read (E again)
%s · read (E),%s · read (E)
"Behind you, without a sound worth naming, the armchairs stand in rows now. Facing forward.","Behind you, without a sound worth naming, the armchairs stand in rows now. Facing forward."
"THE SPLICING BLOCK STANDS READY · joined takes yield a daily without a capture · second take labeled: THE SONG, HARRIET LEFT OF FRAME (E)","THE SPLICING BLOCK STANDS READY · joined takes yield a daily without a capture · second take labeled: THE SONG, HARRIET LEFT OF FRAME (E)"
VESS'S CUT · he is asking without asking (E),VESS'S CUT · he is asking without asking (E)
You join the takes. The tape accepts the cut the way water accepts a stone.,You join the takes. The tape accepts the cut the way water accepts a stone.
"DAILY MINTED · no capture, no bench, no twelve seconds. Cheaper than you thought.","DAILY MINTED · no capture, no bench, no twelve seconds. Cheaper than you thought."
"The second take, in passing, again: THE SONG, HARRIET LEFT OF FRAME.","The second take, in passing, again: THE SONG, HARRIET LEFT OF FRAME."
He threads it without meeting anyone's eye. His cut. The one the club never mentions.,He threads it without meeting anyone's eye. His cut. The one the club never mentions.
Competent. Loving. Wrong in a way no one can name: transitions landing a half-beat off the show's breath.,Competent. Loving. Wrong in a way no one can name: transitions landing a half-beat off the show's breath.
"On the final frame the tape stops itself. A clean mechanical refusal. The take-up reel turns backward one rotation, deliberate as a headshake.","On the final frame the tape stops itself. A clean mechanical refusal. The take-up reel turns backward one rotation, deliberate as a headshake."
VESS · 'It does that. Every copy. Every machine.' The pin is in his fist.,VESS · 'It does that. Every copy. Every machine.' The pin is in his fist.
"VESS · 'Your cuts, it keeps. I checked the vault. It keeps yours.'","VESS · 'Your cuts, it keeps. I checked the vault. It keeps yours.'"
"MERLE · soft, hands folded, merciless as weather: 'Sit down, sweetheart. There's cobbler.'","MERLE · soft, hands folded, merciless as weather: 'Sit down, sweetheart. There's cobbler.'"
STORY CORNER,STORY CORNER
TAPE LIBRARY,TAPE LIBRARY
THE SONG,THE SONG
STUDIO A,STUDIO A
CRAFT TIME,CRAFT TIME
PATCH BAY,PATCH BAY
KILL most-watched rig (CHECKER read),KILL most-watched rig (CHECKER read)
The feed you trust went dark first.,The feed you trust went dark first.
"Somewhere, a camera dies. The map is shorter tonight.","Somewhere, a camera dies. The map is shorter tonight."
RELOCATE toward heard noise at %s -> segment %d,RELOCATE toward heard noise at %s -> segment %d
It changed direction. You were not quiet.,It changed direction. You were not quiet.
RELOCATE sprinter-bias -> segment %d,RELOCATE sprinter-bias -> segment %d
RELOCATE cycle -> segment %d (profile %s),RELOCATE cycle -> segment %d (profile %s)
· in transit ·,· in transit ·
A hand the size of a door closes the distance. NEXT WEEK'S EPISODE.,A hand the size of a door closes the distance. NEXT WEEK'S EPISODE.
"It stops at the felt door. The room inside owes the air nothing, and it knows.","It stops at the felt door. The room inside owes the air nothing, and it knows."
[THE JAW WORKS ITS LEVER],[THE JAW WORKS ITS LEVER]
"It stands at the edge of the bench light. Eleven feet of salvage, watching the tally. The jaw hand moves. Nothing else does.","It stands at the edge of the bench light. Eleven feet of salvage, watching the tally. The jaw hand moves. Nothing else does."
The tally cools.,The tally cools.
THE TALLY COOLS. Two doorways stand between you and anywhere. Use them.,THE TALLY COOLS. Two doorways stand between you and anywhere. Use them.
STRIKE af tally-cool,STRIKE af tally-cool
STRIKE seg %d d=%.1f%s%s,STRIKE seg %d d=%.1f%s%s
 savor, savor
 THRU-WALL, THRU-WALL
WARN seg %d d=%.1f%s,WARN seg %d d=%.1f%s
It is not hurrying anymore.,It is not hurrying anymore.
"You can hear it. %s, performed to no one.","You can hear it. %s, performed to no one."
[IT FOLDS THROUGH THE DOORWAY],[IT FOLDS THROUGH THE DOORWAY]
"A doorway. It stops, and bends, and keeps its eye on you the whole way through.","A doorway. It stops, and bends, and keeps its eye on you the whole way through."
THE PROJECTOR · reel running,THE PROJECTOR · reel running
THE PROJECTOR · run the mini-screening (E),THE PROJECTOR · run the mini-screening (E)
The club settles into the rows. The reel threads itself true.,The club settles into the rows. The reel threads itself true.
"ON TAPE · CHUM: 'Goodnight, Gladhouse! Say it with me!'","ON TAPE · CHUM: 'Goodnight, Gladhouse! Say it with me!'"
Half the room answers with the tape. In sync. Eyes forward.,Half the room answers with the tape. In sync. Eyes forward.
THE SIGN PULSES · SPACE on the beat · Q improvises · or hold still,THE SIGN PULSES · SPACE on the beat · Q improvises · or hold still
"You said nothing, but you shifted. On tape, the head tilts toward the shift.","You said nothing, but you shifted. On tape, the head tilts toward the shift."
"Stillness, held whole. Harriet's cup does not move. The episode resumes.","Stillness, held whole. Harriet's cup does not move. The episode resumes."
The reel runs out. Somebody is already asking to watch it again.,The reel runs out. Somebody is already asking to watch it again.
"ON THE BEAT · 'Goodnight, Gladhouse.' The room exhales; a hand finds your shoulder.","ON THE BEAT · 'Goodnight, Gladhouse.' The room exhales; a hand finds your shoulder."
"OFF THE BEAT · the room turns, all of it, one motion.","OFF THE BEAT · the room turns, all of it, one motion."
"'Goodnight, everyone.' On the beat. On tape, a delighted laugh. (PT +10)","'Goodnight, everyone.' On the beat. On tape, a delighted laugh. (PT +10)"
"The improvisation lands late. Somewhere, a pencil notes it. (PT +5)","The improvisation lands late. Somewhere, a pencil notes it. (PT +5)"
FILED. NOT SHELVED.,FILED. NOT SHELVED.
IT ASKED ME TO STAND IN. NEVER ACCEPT A ROLE.,IT ASKED ME TO STAND IN. NEVER ACCEPT A ROLE.
FINISH THE FINALE. FORMAT KEEPS ITS OWN RULES.,FINISH THE FINALE. FORMAT KEEPS ITS OWN RULES.
ONLY IF THE HOUSE CLOSES WITH SOMEONE INSIDE. LET IT BE ME.,ONLY IF THE HOUSE CLOSES WITH SOMEONE INSIDE. LET IT BE ME.
I'VE READ THE ENDING. IT'S GOOD.,I'VE READ THE ENDING. IT'S GOOD.
 · Q feed the fire tape into the wake, · Q feed the fire tape into the wake
 · SPACE the pad has room for a sixth line, · SPACE the pad has room for a sixth line
SEANCE REEL · close (E) · Z back · X forward,SEANCE REEL · close (E) · Z back · X forward
SEANCE REEL · the impossible tape · open (E),SEANCE REEL · the impossible tape · open (E)
The dock is a box with a window now. Nothing reads.,The dock is a box with a window now. Nothing reads.
SHE WAS THE ONLY ONE WHO PAUSED PROPERLY.,SHE WAS THE ONLY ONE WHO PAUSED PROPERLY.
I KNOW. SHE'S HERE NOW.,I KNOW. SHE'S HERE NOW.
LEGAL PAD · ,LEGAL PAD · 
The frame tears a little more each pass.,The frame tears a little more each pass.
SEANCE · FRAME %d · WEAR %.1f%%,SEANCE · FRAME %d · WEAR %.1f%%
The pad takes a sixth line. The wear takes the rest.,The pad takes a sixth line. The wear takes the rest.
"His print burns from the inside of the frames, whitening as you watch.","His print burns from the inside of the frames, whitening as you watch."
"Green ink drains upward out of every note in the building, back into nowhere.","Green ink drains upward out of every note in the building, back into nowhere."
[THE INK LEAVES THE PAPER],[THE INK LEAVES THE PAPER]
"He is retroactively unfound. The reel is blank leader, end to end.","He is retroactively unfound. The reel is blank leader, end to end."
L1 · THE SIXTH QUESTION,L1 · THE SIXTH QUESTION
"asked past the wear; unfound, retroactively","asked past the wear; unfound, retroactively"
You feed 1977 into the wake.,You feed 1977 into the wake.
"The unfinished sign-off completes itself, in a reading voice you know from green ink:","The unfinished sign-off completes itself, in a reading voice you know from green ink:"
"'There's no one at home anymore. The lights are off in the little house. Say goodnight, Chum.'","'There's no one at home anymore. The lights are off in the little house. Say goodnight, Chum.'"
"The five answers un-write, last to first. The final frame: the little door, closing from the inside. A hand on the inner knob.","The five answers un-write, last to first. The final frame: the little door, closing from the inside. A hand on the inner knob."
"[THE SIGN-OFF, WHOLE]","[THE SIGN-OFF, WHOLE]"
He got to finish it.,He got to finish it.
L2 · THE READING,L2 · THE READING
finished it; the door closed from the inside,finished it; the door closed from the inside
[THE BELL RINGS · once],[THE BELL RINGS · once]
[pen tick],[pen tick]
SOAK START · bot=%s · minutes=%.1f,SOAK START · bot=%s · minutes=%.1f
SPECTROGRAM · the verse is banked,SPECTROGRAM · the verse is banked
SPECTROGRAM · needs a captured tape first,SPECTROGRAM · needs a captured tape first
SPECTROGRAM · pull the sidebands (E),SPECTROGRAM · pull the sidebands (E)
Structure in the sidebands. Not noise. Words.,Structure in the sidebands. Not noise. Words.
RECOVERED · 'Close the door and dim the light. Fold the day away.',RECOVERED · 'Close the door and dim the light. Fold the day away.'
the missing verse,the missing verse
NEW EPISODE,NEW EPISODE
CONTINUE · no log on file,CONTINUE · no log on file
TAPE 1 · FREE DEMO · the tower light stays on,TAPE 1 · FREE DEMO · the tower light stays on
FILED WHILE YOU WERE OUT:\n,FILED WHILE YOU WERE OUT:\n
VESS'S RESEARCH BINDER · read (E) · his door was ajar,VESS'S RESEARCH BINDER · read (E) · his door was ajar
"His insight, real: the slate-number skips are clustered, not random. Nobody else saw it.","His insight, real: the slate-number skips are clustered, not random. Nobody else saw it."
"Also, in confident block letters, a theory that is wrong. You close the binder the way you found it.","Also, in confident block letters, a theory that is wrong. You close the binder the way you found it."
REC ROOM,REC ROOM
BENCH ROOM,BENCH ROOM
TRANSMITTER HALL,TRANSMITTER HALL
DEAD ROOM,DEAD ROOM
FIRE CORRIDOR,FIRE CORRIDOR
MASTER CONTROL,MASTER CONTROL
GREEN ROOM,GREEN ROOM
SCENE DOCK,SCENE DOCK
locked:PADLOCKED · the tag reads EDITH · a key exists|EDITH,locked:PADLOCKED · the tag reads EDITH · a key exists|EDITH
locked:LOCKED · felt-faced · the hum stops at the seam|QUIET ROOM,locked:LOCKED · felt-faced · the hum stops at the seam|QUIET ROOM
locked:SEALED · reopens for the anniversary (Tape 4),locked:SEALED · reopens for the anniversary (Tape 4)
TRANSMITTER THRESHOLD,TRANSMITTER THRESHOLD
CAM 1 · CORRIDOR,CAM 1 · CORRIDOR
CAM 2 · STACKS,CAM 2 · STACKS
SEALED · you can hear it from here. That is enough for today.,SEALED · you can hear it from here. That is enough for today.
SEALED · the club opens the rest when the contract is signed.,SEALED · the club opens the rest when the contract is signed.
 LOG, LOG
THE BENCH,THE BENCH
1977 DOCK,1977 DOCK
SEANCE REEL,SEANCE REEL
REEL · 1977,REEL · 1977
WOOL SPIKE 001,WOOL SPIKE 001
THE LITTLE DOOR,THE LITTLE DOOR
"Not yet. It closes on camera, in Tape 5.","Not yet. It closes on camera, in Tape 5."
CHUM'S MARK,CHUM'S MARK
CAM %d,CAM %d
CASTING SHEET,CASTING SHEET
RITA'S BED,RITA'S BED
THE GLADHOUSE · CLUB PRINT,THE GLADHOUSE · CLUB PRINT
"the EDITH key, felt-tagged in a child's hand","the EDITH key, felt-tagged in a child's hand"
KEY BOARD,KEY BOARD
"the TRAINING key, tagged in green ink","the TRAINING key, tagged in green ink"
the quiet room key · felt-wrapped,the quiet room key · felt-wrapped
FOR THE QUIET ROOM,FOR THE QUIET ROOM
FILM CABINET,FILM CABINET
UNIT %d,UNIT %d
ACCESSION LEDGER,ACCESSION LEDGER
the station ID cart,the station ID cart
"CART AUDIO · 'You're watching The Gladhouse, on WGLD, Channel fifty-eight.'","CART AUDIO · 'You're watching The Gladhouse, on WGLD, Channel fifty-eight.'"
CART RACK,CART RACK
the finale script,the finale script
"Typed, hand-amended. The margin, pressed hard: 'No. Tell them the truth or it doesn't take.'","Typed, hand-amended. The margin, pressed hard: 'No. Tell them the truth or it doesn't take.'"
CRAIK'S BOX,CRAIK'S BOX
the sign-off card,the sign-off card
Hand-lettered. WGLD CHANNEL 58. GOODNIGHT.,Hand-lettered. WGLD CHANNEL 58. GOODNIGHT.
PROPS CRATE,PROPS CRATE
VESS'S ROOM,VESS'S ROOM
LEDGER MARGIN,LEDGER MARGIN
VESS'S CUT,VESS'S CUT
"THE CLIPPING · 1974, behind glass","THE CLIPPING · 1974, behind glass"
"COURIER, OCTOBER 1974 · LOCAL GIRL, 7, FOUND SAFE AFTER NIGHT IN CORNFIELD.","COURIER, OCTOBER 1974 · LOCAL GIRL, 7, FOUND SAFE AFTER NIGHT IN CORNFIELD."
"'We don't know which volunteer walked her back and we'd like to shake his hand,' said Sheriff D. Pruett.","'We don't know which volunteer walked her back and we'd like to shake his hand,' said Sheriff D. Pruett."
"The child, wrapped in a square of gray flannel her mother did not recognize, said only that she was 'carried the long way, singing.'","The child, wrapped in a square of gray flannel her mother did not recognize, said only that she was 'carried the long way, singing.'"
