row_name,room,room_code,state,state_scope,locked_ev,locked_ev_status,locked_ev_source,practical_id,fixture,family,on,position_uu,position_status,position_source,colour_linear,colour_status,colour_source,intensity,intensity_units,intensity_status,intensity_source,red_reads,red_source,transition,sequence,sequence_status,source,note
EXT.CROSSING.X-EXT-2,YARD,EXT,CROSSING,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,X-EXT-2,gravel lot floodlight (T2 operable; draws from the amperage budget),OPEN,OPEN,,OPEN,,,OPEN,,,,OPEN,,OPEN,beacon,none stated (runs inside the final break),,OPEN,"restoration-lighting-bible.md §STATES THE CROSSING; restoration-after-fire-chum.md §THE LAST CROSSING; Data/Doors.csv (MC-CONTROL, CONTROL-PATCH BAY, PATCH BAY-STUDIO A); restoration-room-inventory.md §1 Gravel lot floodlight 'a trap for the generous'","his eye dark (the one time red abandons the player, stated in text); the sign-off's glow leaking under doors along the broadcast path MC -> CTL -> PB -> STA little door, 75 s; position, colour family and default state unruled (OPEN 3.5-D)"
EXT.CROSSING.X-EXT-3,YARD,EXT,CROSSING,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,X-EXT-3,the sky,SKY,N/A,,OPEN,,"0.7,0.66,0.58",STAND-IN,scenes/main.tscn 40 (reference Sun colour),0.07 day / 0.005 night,Godot DirectionalLight light_energy,STAND-IN,scenes/main.tscn 41; scripts/world_builder.gd 703 (night),OPEN,beacon,none stated (runs inside the final break),,OPEN,"restoration-lighting-bible.md §STATES THE CROSSING; restoration-after-fire-chum.md §THE LAST CROSSING; Data/Doors.csv (MC-CONTROL, CONTROL-PATCH BAY, PATCH BAY-STUDIO A); restoration-art-bible.md §8 Day 'overcast north key'; restoration-lighting-bible.md §STATES NIGHT 'moonless windows'; restoration-room-bible.md YARD 'The only sky the game owns. Night exterior'","his eye dark (the one time red abandons the player, stated in text); the sign-off's glow leaking under doors along the broadcast path MC -> CTL -> PB -> STA little door, 75 s; the yard by day is OPEN 3.5-C (the bible describes it only at night); art bible §8 'sodium exterior spill at the windows' vs bible 'sodium = one fixture, the dock' is OPEN 0-D — no sodium lamp in the yard until ruled"
EXT.SIGNOFF_4C.X-EXT-1,YARD,EXT,SIGNOFF_4C,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,X-EXT-1,THE TOWER BEACON (red; never operable),RED_BEACON,"OFF LAST (after the entry; then nothing, as rest)","-900,1450,760",STAND-IN,"scripts/world_builder.gd 1232-1234 (tower rig at Godot (-9, 0, 14.5), h 7.5) + scripts/prop_kit.gd 517 (beacon at h + 0.1)","1.0,0.12,0.08",STAND-IN,"scripts/prop_kit.gd 508-511 (emission; albedo 0.8,0.15,0.1)",2.4,Godot emission_energy_multiplier (no light node; emissive only),STAND-IN,scripts/prop_kit.gd 511,NO,all lights to black,"CUT per room, in sequence",7,CANON-ORDER,"restoration-lighting-bible.md §STATES 4c; restoration-casualty-ledger.md L2 ENDINGS; scripts/hud.gd 481-484; restoration-player-routing.md Day 1 spine; restoration-room-bible.md YARD; restoration-room-inventory.md §1 The tower + red beacon; restoration-lighting-bible.md §STATES 4c; scripts/title.gd 28 / credits.gd 66 'the tower light stays on'; restoration-player-routing.md Day 1 spine (ENT->REC->KIT->DRM->LIB->BEN) reversed per restoration-lighting-bible.md §STATES 4c 'entry last, then the tower light'; NOTE ROOM-BRIEFS-3.1-3.5.md 3.2.3/3.3.3 read the order forward (REC second, KIT third) while 3.8.3/3.9.3 read it reversed — contradiction to rule (OPEN C18-A)","the reverse-tour blackout: every light in the building goes down room by room in reverse order of the Day 1 tour, entry last, then the tower light, then nothing, as rest; the tower light goes out after the entry, then nothing; red but NOT a tally: whether it participates in red=watched is OPEN 0-F [ROOM-BRIEFS-3.1-3.5.md §0.2]; steady vs pulse is OPEN 3.5-B (room bible 'steady' vs inventory 'beacon pulse is a night movement metronome'); 4c: emission off, albedo (0.25, 0.1, 0.08) [world_builder.gd 1238-1243]"
EXT.SIGNOFF_4C.X-EXT-2,YARD,EXT,SIGNOFF_4C,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,X-EXT-2,gravel lot floodlight (T2 operable; draws from the amperage budget),OPEN,OFF,,OPEN,,,OPEN,,,,OPEN,,NO,all lights to black,"CUT per room, in sequence",7,CANON-ORDER,"restoration-lighting-bible.md §STATES 4c; restoration-casualty-ledger.md L2 ENDINGS; scripts/hud.gd 481-484; restoration-player-routing.md Day 1 spine; restoration-room-inventory.md §1 Gravel lot floodlight 'a trap for the generous'; restoration-player-routing.md Day 1 spine (ENT->REC->KIT->DRM->LIB->BEN) reversed per restoration-lighting-bible.md §STATES 4c 'entry last, then the tower light'; NOTE ROOM-BRIEFS-3.1-3.5.md 3.2.3/3.3.3 read the order forward (REC second, KIT third) while 3.8.3/3.9.3 read it reversed — contradiction to rule (OPEN C18-A)","the reverse-tour blackout: every light in the building goes down room by room in reverse order of the Day 1 tour, entry last, then the tower light, then nothing, as rest; the tower light goes out after the entry, then nothing; position, colour family and default state unruled (OPEN 3.5-D)"
EXT.SIGNOFF_4C.X-EXT-3,YARD,EXT,SIGNOFF_4C,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,X-EXT-3,the sky,SKY,N/A,,OPEN,,"0.7,0.66,0.58",STAND-IN,scenes/main.tscn 40 (reference Sun colour),0.07 day / 0.005 night,Godot DirectionalLight light_energy,STAND-IN,scenes/main.tscn 41; scripts/world_builder.gd 703 (night),NO,all lights to black,"CUT per room, in sequence",7,CANON-ORDER,"restoration-lighting-bible.md §STATES 4c; restoration-casualty-ledger.md L2 ENDINGS; scripts/hud.gd 481-484; restoration-player-routing.md Day 1 spine; restoration-art-bible.md §8 Day 'overcast north key'; restoration-lighting-bible.md §STATES NIGHT 'moonless windows'; restoration-room-bible.md YARD 'The only sky the game owns. Night exterior'; restoration-player-routing.md Day 1 spine (ENT->REC->KIT->DRM->LIB->BEN) reversed per restoration-lighting-bible.md §STATES 4c 'entry last, then the tower light'; NOTE ROOM-BRIEFS-3.1-3.5.md 3.2.3/3.3.3 read the order forward (REC second, KIT third) while 3.8.3/3.9.3 read it reversed — contradiction to rule (OPEN C18-A)","the reverse-tour blackout: every light in the building goes down room by room in reverse order of the Day 1 tour, entry last, then the tower light, then nothing, as rest; the tower light goes out after the entry, then nothing; the yard by day is OPEN 3.5-C (the bible describes it only at night); art bible §8 'sodium exterior spill at the windows' vs bible 'sodium = one fixture, the dock' is OPEN 0-D — no sodium lamp in the yard until ruled"
SHD.DAY_ON_AIR.P-SHD-1,SHED,SHD,DAY_ON_AIR,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,P-SHD-1,single bare bulb on a pull chain,TUNGSTEN,OFF until pulled,,OPEN,"ROOM-BRIEFS-3.6-3.10.md 3.6.3 proposes ceiling centre (1000, 1400, ~285)",,OPEN,,,,OPEN,,NO,,"CUT with the schedule (ON AIR 50.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES DAY, ON AIR; §UE5 TECHNICALS transitions CUT; restoration-room-bible.md SHED 'Single bulb, pull chain'",full practicals plus every tally lit; the safest the world ever looks; default OFF until pulled; whether the chain is player-operable is OPEN 3.6-D [ROOM-BRIEFS-3.6-3.10.md 3.6.3]
SHD.DAY_ON_AIR.B-SHD-1,SHED,SHD,DAY_ON_AIR,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,B-SHD-1,borrowed: the beacon's red through the open door (locked until T4: PADLOCKED · EDITH),BORROWED,FOLLOWS SOURCE,,OPEN,,,OPEN,,,,OPEN,,NO,,"CUT with the schedule (ON AIR 50.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES DAY, ON AIR; §UE5 TECHNICALS transitions CUT; Data/Doors.csv YARD-SHED locked row; restoration-game-master.md T4.7 'Exterior, night, beacon pulse'",full practicals plus every tally lit; the safest the world ever looks
SHD.BREAK.P-SHD-1,SHED,SHD,BREAK,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,P-SHD-1,single bare bulb on a pull chain,TUNGSTEN,OFF until pulled,,OPEN,"ROOM-BRIEFS-3.6-3.10.md 3.6.3 proposes ceiling centre (1000, 1400, ~285)",,OPEN,,,,OPEN,,NO,,"CUT at the 50 s flip (BREAK 18.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES BREAK; restoration-room-bible.md SHED 'Single bulb, pull chain'",the tallys die together; red drains from the world on the cue; BREAK IS VISIBLY LESS SAFE; Harriet freezes inside the colour change; default OFF until pulled; whether the chain is player-operable is OPEN 3.6-D [ROOM-BRIEFS-3.6-3.10.md 3.6.3]
SHD.BREAK.B-SHD-1,SHED,SHD,BREAK,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,B-SHD-1,borrowed: the beacon's red through the open door (locked until T4: PADLOCKED · EDITH),BORROWED,FOLLOWS SOURCE,,OPEN,,,OPEN,,,,OPEN,,NO,,"CUT at the 50 s flip (BREAK 18.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES BREAK; Data/Doors.csv YARD-SHED locked row; restoration-game-master.md T4.7 'Exterior, night, beacon pulse'",the tallys die together; red drains from the world on the cue; BREAK IS VISIBLY LESS SAFE; Harriet freezes inside the colour change
SHD.NIGHT.P-SHD-1,SHED,SHD,NIGHT,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,P-SHD-1,single bare bulb on a pull chain,TUNGSTEN,OFF until pulled (the shed is entered on Night 7),,OPEN,"ROOM-BRIEFS-3.6-3.10.md 3.6.3 proposes ceiling centre (1000, 1400, ~285)",,OPEN,,,,OPEN,,OPEN,beacon through the door — OPEN 0-F,CUT on the night flip (GameState.night_changed),,OPEN,"restoration-lighting-bible.md §STATES NIGHT; scripts/world_builder.gd 700-709 (reference flips on night_changed); restoration-room-bible.md SHED 'Single bulb, pull chain'","practicals off; exit signage, standby LEDs, phosphor spill, moonless windows; navigation by learned geography plus the grammar; default OFF until pulled; whether the chain is player-operable is OPEN 3.6-D [ROOM-BRIEFS-3.6-3.10.md 3.6.3]"
SHD.NIGHT.B-SHD-1,SHED,SHD,NIGHT,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,B-SHD-1,borrowed: the beacon's red through the open door (locked until T4: PADLOCKED · EDITH),BORROWED,FOLLOWS SOURCE,,OPEN,,,OPEN,,,,OPEN,,OPEN,beacon through the door — OPEN 0-F,CUT on the night flip (GameState.night_changed),,OPEN,"restoration-lighting-bible.md §STATES NIGHT; scripts/world_builder.gd 700-709 (reference flips on night_changed); Data/Doors.csv YARD-SHED locked row; restoration-game-master.md T4.7 'Exterior, night, beacon pulse'","practicals off; exit signage, standby LEDs, phosphor spill, moonless windows; navigation by learned geography plus the grammar"
SHD.CASCADE_1_C.P-SHD-1,SHED,SHD,CASCADE_1_C,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,P-SHD-1,single bare bulb on a pull chain,TUNGSTEN,OPEN (zone C membership not in canon),,OPEN,"ROOM-BRIEFS-3.6-3.10.md 3.6.3 proposes ceiling centre (1000, 1400, ~285)",,OPEN,,,,OPEN,,OPEN,zone membership unknown,CUT at cascade start; relights in panel order (B before C),,OPEN,"restoration-lighting-bible.md §STATES CASCADE; scripts/cascade.gd 21-24; restoration-room-bible.md SHED 'Single bulb, pull chain'",stage 1: circuit C's zone dies ('the stage end of the building drops dark'); default OFF until pulled; whether the chain is player-operable is OPEN 3.6-D [ROOM-BRIEFS-3.6-3.10.md 3.6.3]
SHD.CASCADE_1_C.B-SHD-1,SHED,SHD,CASCADE_1_C,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,B-SHD-1,borrowed: the beacon's red through the open door (locked until T4: PADLOCKED · EDITH),BORROWED,FOLLOWS SOURCE,,OPEN,,,OPEN,,,,OPEN,,OPEN,zone membership unknown,CUT at cascade start; relights in panel order (B before C),,OPEN,"restoration-lighting-bible.md §STATES CASCADE; scripts/cascade.gd 21-24; Data/Doors.csv YARD-SHED locked row; restoration-game-master.md T4.7 'Exterior, night, beacon pulse'",stage 1: circuit C's zone dies ('the stage end of the building drops dark')
SHD.CASCADE_2_B.P-SHD-1,SHED,SHD,CASCADE_2_B,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,P-SHD-1,single bare bulb on a pull chain,TUNGSTEN,OPEN (zone B membership not in canon),,OPEN,"ROOM-BRIEFS-3.6-3.10.md 3.6.3 proposes ceiling centre (1000, 1400, ~285)",,OPEN,,,,OPEN,,OPEN,zone membership unknown,CUT at +20.0 s after stage 1 (STAND-IN: cascade.gd 25-31 waits 4.0 + 16.0 s); restore = ordered relight B then C,,OPEN,"restoration-lighting-bible.md §STATES CASCADE; scripts/cascade.gd 25-41; scripts/patchbay_console.gd 52-60; restoration-room-bible.md SHED 'Single bulb, pull chain'","stage 2: circuit B's zone follows ('the dark is administrative now'); the panel in the patch bay restores B then C, relighting in order; circuit F never flickers; default OFF until pulled; whether the chain is player-operable is OPEN 3.6-D [ROOM-BRIEFS-3.6-3.10.md 3.6.3]"
SHD.CASCADE_2_B.B-SHD-1,SHED,SHD,CASCADE_2_B,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,B-SHD-1,borrowed: the beacon's red through the open door (locked until T4: PADLOCKED · EDITH),BORROWED,FOLLOWS SOURCE,,OPEN,,,OPEN,,,,OPEN,,OPEN,zone membership unknown,CUT at +20.0 s after stage 1 (STAND-IN: cascade.gd 25-31 waits 4.0 + 16.0 s); restore = ordered relight B then C,,OPEN,"restoration-lighting-bible.md §STATES CASCADE; scripts/cascade.gd 25-41; scripts/patchbay_console.gd 52-60; Data/Doors.csv YARD-SHED locked row; restoration-game-master.md T4.7 'Exterior, night, beacon pulse'","stage 2: circuit B's zone follows ('the dark is administrative now'); the panel in the patch bay restores B then C, relighting in order; circuit F never flickers"
SHD.CROSSING.P-SHD-1,SHED,SHD,CROSSING,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,P-SHD-1,single bare bulb on a pull chain,TUNGSTEN,OPEN (runs inside the final break; canon states only the glow under doors and his dark eye),,OPEN,"ROOM-BRIEFS-3.6-3.10.md 3.6.3 proposes ceiling centre (1000, 1400, ~285)",,OPEN,,,,OPEN,,NO,,none stated (runs inside the final break),,OPEN,"restoration-lighting-bible.md §STATES THE CROSSING; restoration-after-fire-chum.md §THE LAST CROSSING; Data/Doors.csv (MC-CONTROL, CONTROL-PATCH BAY, PATCH BAY-STUDIO A); restoration-room-bible.md SHED 'Single bulb, pull chain'","his eye dark (the one time red abandons the player, stated in text); the sign-off's glow leaking under doors along the broadcast path MC -> CTL -> PB -> STA little door, 75 s; default OFF until pulled; whether the chain is player-operable is OPEN 3.6-D [ROOM-BRIEFS-3.6-3.10.md 3.6.3]"
SHD.CROSSING.B-SHD-1,SHED,SHD,CROSSING,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,B-SHD-1,borrowed: the beacon's red through the open door (locked until T4: PADLOCKED · EDITH),BORROWED,FOLLOWS SOURCE,,OPEN,,,OPEN,,,,OPEN,,NO,,none stated (runs inside the final break),,OPEN,"restoration-lighting-bible.md §STATES THE CROSSING; restoration-after-fire-chum.md §THE LAST CROSSING; Data/Doors.csv (MC-CONTROL, CONTROL-PATCH BAY, PATCH BAY-STUDIO A); Data/Doors.csv YARD-SHED locked row; restoration-game-master.md T4.7 'Exterior, night, beacon pulse'","his eye dark (the one time red abandons the player, stated in text); the sign-off's glow leaking under doors along the broadcast path MC -> CTL -> PB -> STA little door, 75 s"
SHD.SIGNOFF_4C.P-SHD-1,SHED,SHD,SIGNOFF_4C,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,P-SHD-1,single bare bulb on a pull chain,TUNGSTEN,OFF,,OPEN,"ROOM-BRIEFS-3.6-3.10.md 3.6.3 proposes ceiling centre (1000, 1400, ~285)",,OPEN,,,,OPEN,,NO,all lights to black,"CUT per room, in sequence",,OPEN,"restoration-lighting-bible.md §STATES 4c; restoration-casualty-ledger.md L2 ENDINGS; scripts/hud.gd 481-484; restoration-player-routing.md Day 1 spine; restoration-room-bible.md SHED 'Single bulb, pull chain'; restoration-lighting-bible.md §STATES 4c (room not on the Day 1 tour)","the reverse-tour blackout: every light in the building goes down room by room in reverse order of the Day 1 tour, entry last, then the tower light, then nothing, as rest; never toured on Day 1 — whether it is on a circuit that dies is OPEN; default OFF until pulled; whether the chain is player-operable is OPEN 3.6-D [ROOM-BRIEFS-3.6-3.10.md 3.6.3]"
SHD.SIGNOFF_4C.B-SHD-1,SHED,SHD,SIGNOFF_4C,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,B-SHD-1,borrowed: the beacon's red through the open door (locked until T4: PADLOCKED · EDITH),BORROWED,FOLLOWS SOURCE,,OPEN,,,OPEN,,,,OPEN,,NO,all lights to black,"CUT per room, in sequence",,OPEN,"restoration-lighting-bible.md §STATES 4c; restoration-casualty-ledger.md L2 ENDINGS; scripts/hud.gd 481-484; restoration-player-routing.md Day 1 spine; Data/Doors.csv YARD-SHED locked row; restoration-game-master.md T4.7 'Exterior, night, beacon pulse'; restoration-lighting-bible.md §STATES 4c (room not on the Day 1 tour)","the reverse-tour blackout: every light in the building goes down room by room in reverse order of the Day 1 tour, entry last, then the tower light, then nothing, as rest; never toured on Day 1 — whether it is on a circuit that dies is OPEN"
SHD.*.G-SHD-0,SHED,SHD,*,REFERENCE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,G-SHD-0,greybox stand-in PointLight (delete at P3 when real practicals land),STAND-IN,STAND-IN (not a state; delete or recolour per note),"1000,1400,275",STAND-IN,"ue/pyscripts/build_greybox.py 124 (cx, cy, 275)","0.95,0.72,0.45",STAND-IN,ue/pyscripts/build_greybox.py 129; scripts/world_builder.gd 165,9.0,cd (UE) / 0.5 Godot light_energy,STAND-IN,ue/pyscripts/build_greybox.py 126-128; scripts/world_builder.gd 166,N/A,,,,OPEN,"ue/pyscripts/build_greybox.py 122-130 (PointLight at (cx, cy, 275), no shadows, attenuation 0.75 x max(w,d) x 100); SkyLight 0.12 at 176-177","one dim practical per room, 'Merle keeps the lights on. Barely.' [scripts/world_builder.gd 161-170]; not canon"
COR.DAY_ON_AIR.P-COR-n,CORRIDOR,COR,DAY_ON_AIR,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,P-COR-n,spaced tungsten fixtures with authored gaps (count OPEN 3.7-D),TUNGSTEN,ON,,OPEN,"ROOM-BRIEFS-3.6-3.10.md 3.7.3 proposes (0, -500, 290), (0, -750, 290), (0, -1000, 290) with the middle socket empty",,OPEN,,,,OPEN,,OPEN,CAM 1 tally if it exists (OPEN 0-I),"CUT with the schedule (ON AIR 50.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES DAY, ON AIR; §UE5 TECHNICALS transitions CUT; restoration-lighting-bible.md §UE5 TECHNICALS 'CORRIDORS spaced tungsten with authored gaps (the gaps are content)'; restoration-room-bible.md CORRIDOR","full practicals plus every tally lit; the safest the world ever looks; B-R2: loses one bulb per casualty, never replaced [restoration-reaction-matrix.md line 20]; the owner must set bulb count against the casualty count so the floor always resolves (darkness-as-content is banned [restoration-dread-doctrine.md ANTI-CREEP])"
COR.DAY_ON_AIR.T-COR-1,CORRIDOR,COR,DAY_ON_AIR,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,T-COR-1,CAM 1's tally lamp (if one exists),RED_TALLY,ON (lit = watched = safe),"0,-1060,240",STAND-IN,Data/Monitors.csv row 1 cam_pos,,OPEN,,,,OPEN,,OPEN,CAM 1 tally if it exists (OPEN 0-I),"CUT with the schedule (ON AIR 50.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES DAY, ON AIR; §UE5 TECHNICALS transitions CUT; restoration-room-inventory.md §GLOBAL Camera mounts + tally lamps (shape-coded); Data/Monitors.csv row 1 cam_pos (0, 2.4, -10.6)",full practicals plus every tally lit; the safest the world ever looks; existence OPEN 0-I [ROOM-BRIEFS-3.6-3.10.md §0]; camera one is the reference's rig 0 (killed on Night 1's trip)
COR.DAY_ON_AIR.B-COR-1,CORRIDOR,COR,DAY_ON_AIR,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,B-COR-1,borrowed: REC amber through the +Y gap; library cool through the -Y gap,BORROWED,FOLLOWS SOURCE,,OPEN,,,OPEN,,,,OPEN,,OPEN,CAM 1 tally if it exists (OPEN 0-I),"CUT with the schedule (ON AIR 50.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES DAY, ON AIR; §UE5 TECHNICALS transitions CUT; Data/Doors.csv REC ROOM-CORRIDOR (0, -4.0), CORRIDOR-TAPE LIBRARY (0, -11.0)",full practicals plus every tally lit; the safest the world ever looks
COR.BREAK.P-COR-n,CORRIDOR,COR,BREAK,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,P-COR-n,spaced tungsten fixtures with authored gaps (count OPEN 3.7-D),TUNGSTEN,ON,,OPEN,"ROOM-BRIEFS-3.6-3.10.md 3.7.3 proposes (0, -500, 290), (0, -750, 290), (0, -1000, 290) with the middle socket empty",,OPEN,,,,OPEN,,NO,red drains,"CUT at the 50 s flip (BREAK 18.0 s, Data/Timings.csv broadcast.gd)",,OPEN,restoration-lighting-bible.md §STATES BREAK; restoration-lighting-bible.md §UE5 TECHNICALS 'CORRIDORS spaced tungsten with authored gaps (the gaps are content)'; restoration-room-bible.md CORRIDOR,"the tallys die together; red drains from the world on the cue; BREAK IS VISIBLY LESS SAFE; Harriet freezes inside the colour change; B-R2: loses one bulb per casualty, never replaced [restoration-reaction-matrix.md line 20]; the owner must set bulb count against the casualty count so the floor always resolves (darkness-as-content is banned [restoration-dread-doctrine.md ANTI-CREEP])"
COR.BREAK.T-COR-1,CORRIDOR,COR,BREAK,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,T-COR-1,CAM 1's tally lamp (if one exists),RED_TALLY,OFF (dies with every tally on the cue),"0,-1060,240",STAND-IN,Data/Monitors.csv row 1 cam_pos,,OPEN,,,,OPEN,,NO,red drains,"CUT at the 50 s flip (BREAK 18.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES BREAK; restoration-room-inventory.md §GLOBAL Camera mounts + tally lamps (shape-coded); Data/Monitors.csv row 1 cam_pos (0, 2.4, -10.6)",the tallys die together; red drains from the world on the cue; BREAK IS VISIBLY LESS SAFE; Harriet freezes inside the colour change; existence OPEN 0-I [ROOM-BRIEFS-3.6-3.10.md §0]; camera one is the reference's rig 0 (killed on Night 1's trip)
COR.BREAK.B-COR-1,CORRIDOR,COR,BREAK,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,B-COR-1,borrowed: REC amber through the +Y gap; library cool through the -Y gap,BORROWED,FOLLOWS SOURCE,,OPEN,,,OPEN,,,,OPEN,,NO,red drains,"CUT at the 50 s flip (BREAK 18.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES BREAK; Data/Doors.csv REC ROOM-CORRIDOR (0, -4.0), CORRIDOR-TAPE LIBRARY (0, -11.0)",the tallys die together; red drains from the world on the cue; BREAK IS VISIBLY LESS SAFE; Harriet freezes inside the colour change
COR.NIGHT.P-COR-n,CORRIDOR,COR,NIGHT,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,P-COR-n,spaced tungsten fixtures with authored gaps (count OPEN 3.7-D),TUNGSTEN,OFF,,OPEN,"ROOM-BRIEFS-3.6-3.10.md 3.7.3 proposes (0, -500, 290), (0, -750, 290), (0, -1000, 290) with the middle socket empty",,OPEN,,,,OPEN,,OPEN,CAM 1 tally if any; his eye during a capture,CUT on the night flip (GameState.night_changed),,OPEN,restoration-lighting-bible.md §STATES NIGHT; scripts/world_builder.gd 700-709 (reference flips on night_changed); restoration-lighting-bible.md §UE5 TECHNICALS 'CORRIDORS spaced tungsten with authored gaps (the gaps are content)'; restoration-room-bible.md CORRIDOR,"practicals off; exit signage, standby LEDs, phosphor spill, moonless windows; navigation by learned geography plus the grammar; B-R2: loses one bulb per casualty, never replaced [restoration-reaction-matrix.md line 20]; the owner must set bulb count against the casualty count so the floor always resolves (darkness-as-content is banned [restoration-dread-doctrine.md ANTI-CREEP])"
