id,unit,room,prop,tier,class,interactable,gate_verb,text_key,dims_m,dims_src,placement_uu,source_candidate,licence,canon,notes_open
3.4-06,3.4,DORMS,Beds A and B (the other slept-in bays; Merle's quilt drifts to show palette by T4; Vess's neutral),DRESSING,drift (textile),NO,,none,2.0 x 1.0 x 0.53; headboard 0.62 (REF dorm_bed),REF,"(-1200, 160, 0) [Godot (-12.0, 0.0, 1.6)]",Same bed family; quilt under M_Wool with drift tint,Fab Standard / Bespoke,prop_kit.gd dorm_bed 761-770; WB 1397-1404; RI s5 'Merle's room',"Bed B at Godot (-6.2, 0, 1.6)"
3.4-07,3.4,DORMS,"Lockers, run of 4 (one ajar)",DRESSING,,NO,,none,1.8 x 0.5 x 1.9,REF,"(-720, -220, 0) [Godot (-7.2, 0.0, -2.2)]",Fab search 'metal locker' (Megascans if free); painted steel M_Enamel,Fab Standard,prop_kit.gd locker_run 774-789; WB 1405-1408,"OPEN 3.4-C: are the 'five doors' lockers, door frames, or partitions"
3.4-08,3.4,DORMS,Five doors: three slept-in; door four carries the blank card; Harriet's never opens (inside everything mid-motion); one door settles (bed),DRESSING,drift (which stand open),NO,"Harriet's: inspect through, never opens",none,0.9 x 2.1 each,RW,"OPEN 3.4-C (single 8 x 5 box, no partitions in Rooms.csv)",Fab search 'interior door wooden painted'; name cards M_Paper,Fab Standard,RB DORMS; RI s5; LL DORMS,
3.4-09,3.4,DORMS,"Blank name card on door four; inside, a wallpaper square brighter than its wall where something hung the length of a warning",LORE-AMBIENT,T3,NO,never prompts,none,card 0.09 x 0.05; bright square ~0.3 x 0.4,RW,door four; the square at Z ~150 on the bay wall,albedo only for the square; card M_Paper,Bespoke,LL DORMS [T3]; RB DORMS 'name cards (one blank)' + web 'the blank card is a shard',
3.4-10,3.4,DORMS,Name cards on the other doors,DRESSING,,NO,,none,0.09 x 0.05,RW,the doors,M_Paper,Bespoke,RB DORMS keynote,
3.4-11,3.4,DORMS,"Welcome folder's earlier revision misfiled beneath the shelf liner, listing a room count of six",LORE-AMBIENT,HC,NO,never prompts,none,page 0.216 x 0.279,RW,"under the dresser's top-drawer liner, corner lifted so the edge shows",M_Paper,Bespoke,LL DORMS [HC],
3.4-12,3.4,DORMS,"Window on the yard side, latch painted shut from the inside; thick curtain (blocks the beacon; purely humane)",DRESSING,operable (curtain) · ambient host,OPEN,RI s5: T1 · operate (curtain),none,window 1.0 x 1.2; latch 0.08; curtain 1.4 x 1.6,RW,"+Y wall (-900, 248, 150) proposed",Curtain cloth under M_Wool family; latch in maps; window needs a wall cut Doors.csv does not carry,Bespoke,RI s5; LL DORMS [HF]; game master T1.2 'the curtain's thick',"OPEN 3.4-D (wall cut), 3.4-A (prompt)"
3.4-13,3.4,DORMS,Latch painted shut from the inside,LORE-AMBIENT,HF,NO,never prompts,none,0.08,RW,the window,paint-over in albedo/roughness,Bespoke,LL DORMS [HF],
3.4-14,3.4,DORMS,Mirror (reflection budget; from T3 her reflections compose better) + communal bath mirror,DRESSING,scripted reflection,NO,RI s5: T1 · inspect · DYN,none,0.4 x 0.6,RW,"-X wall (-1298, 60, 160) proposed",planar reflection / SceneCapture per the port; bespoke frame,Bespoke,RI s5,
3.4-15,3.4,DORMS,Radiators (bed: radiators); FORCE path cuts dorm heat,DRESSING,,NO,,none,1.0 x 0.2 x 0.6 cast iron,RW,under the window and one per bay,Fab search 'cast iron radiator' (Megascans if free),Fab Standard,RB DORMS bed; RI s4 (dorm heat),
3.4-16,3.4,DORMS,Practicals per bay (three) with the hall gap authored,DRESSING,practical,NO,,none,wall lamp 0.2,RW,"(-900,220,200) (-1200,220,200) (-620,220,200) proposed",Bespoke wall lamps with true bulbs; Fab search 'wall lamp vintage',Bespoke / Fab Standard,"RB DORMS 'Practicals per room, hall gap authored'; LB UE5 'the gaps are content'",EV OPEN
3.4-17,3.4,DORMS,"Rita's suitcase (unpacked), a chair with a cardigan, a wash basin, a clock (dressing mass to the 10 cap)",DRESSING,,NO,,none,suitcase 0.6 x 0.4 x 0.2,RW,Rita's bay,Fab search 'vintage suitcase'; Poly Haven search 'chair' (verify id),Fab Standard / CC0,RB DORMS 'Rita's unadorned room' (keep sparse); RBR 3.4.6 P5,"Proposal, not canon"
3.4-18,3.4,DORMS,"Surfaces: floor 8 x 5, walls neutral (never drift), ceiling; rugs per bay",SURFACE,,NO,,none,40 m2 floor,REF (Rooms.csv),,Megascans worn parquet / linoleum (MI_Dorms_Floor); plaster (MI_Dorms_Wall),Fab Standard,Rooms.csv; AB s4 'wall tones never',
3.5-01,3.5,YARD,THE TOWER with the red beacon (the only sky's fixture; never operable; goes out on 4c),DRESSING,"practical (red, not a tally)",NO,RI s1: T1 · inspect,"GT 78, 340, 642 (the tower light)","REF lattice 7.5 tall, base 1.4 sq to 0.3 top, four sections; beacon 0.24 dia; RW UHF mast far taller - OPEN 3.5-E",REF,"(-900, 1450, 0) [Godot (-9.0, 0.0, 14.5)]","Bespoke lattice (real angle-iron profiles, PLAN R.1); beacon glass M_Practical with a true bulb; Megascans 'galvanized metal'",Bespoke / Fab Standard,prop_kit.gd tower 482-521; WB 1230-1243; RB YARD; LB STATES 4c; RI s1,"Steady (RB) vs pulse (walkthrough, game master T4.7, RI s1): OPEN 3.5-B. Red joins the grammar? OPEN 0-F"
3.5-02,3.5,YARD,Antenna guy-wires with concrete anchors (bed: wire hum),DRESSING,ambient host,NO,RI s1: T1 · traverse (guy field),none,wire 0.01 dia; anchors 0.3 x 0.3 x 0.6,RW,"anchors (-1400,1100) (-1400,1750) (-400,1750) proposed, wires to the top section","Spline cable meshes, steel; anchors Megascans 'concrete block'",Bespoke / Fab Standard,RB YARD keynote; RI s1,
3.5-03,3.5,YARD,"Guy-wire crimp tag stamped 1971, still bright",LORE-AMBIENT,HC,NO,never prompts,none,tag 0.03 dia,RW,"anchor nearest the entry path (-400, 1750, 70) proposed",bright metal via roughness/metallic only,Bespoke,LL YARD [HC],
3.5-04,3.5,YARD,Fence (chain-link) along the perimeter,DRESSING,ambient host,NO,,none,1.8 high,RW,+Y perimeter - OPEN 3.5-A (stamper gives four 3 m walls),Fab search 'chain link fence' (Megascans),Fab Standard,"RBR 3.5.4; RI s1 (lot, guy field)","Fence is implied, not stated: OPEN 3.5-A"
3.5-05,3.5,YARD,"Child's bicycle bell zip-tied to the fence, clapper removed (it rhymes with his)",LORE-AMBIENT,T1,NO,never prompts; never sounds,none,bell 0.05 dia; zip tie 0.2,RW,"fence (600, 1795, 110) proposed","Bespoke, clapperless; chrome under a wear pass",Bespoke,LL YARD [T1]; LAWS 5 (silence contracts); audio bible S06,Silent by law
3.5-06,3.5,YARD,"Burn barrel holding melted film-can lids fused into one disk, rim stamps just legible: GLADHOUSE",DRESSING,ambient host; W2 spawn site,NO,,none,55-gal drum 0.58 dia x 0.88; fused disk ~0.4 dia (16 mm 400 ft cans 0.19 dia),RW,"(-300, 1650, 0) proposed","Fab search 'oil drum rusted' (Megascans); disk bespoke, stamps in the normal map (PLAN R.2)",Fab Standard / Bespoke,"LL YARD [T5, HF]; walkthrough ADDENDUM (W2 behind the barrel, Day 3)",
3.5-07,3.5,YARD,Fused lid disk with GLADHOUSE rim stamps,LORE-AMBIENT,"T5, HF",NO,never prompts,none,0.4 dia,RW,"inside the barrel at Z ~30, legible only from above at 1 m",normal-map stamps,Bespoke,"LL YARD [T5, HF]",
3.5-08,3.5,YARD,"W2 (the secret pilgrimage's second viewing) behind the burn barrel from Day 3, after W1",INTERACTABLE,pickup · secret,OPEN,Day 3 · COND (after W1),OPEN (W-series keys not identified),a viewing slip,OPEN,behind the barrel,M_Paper,Bespoke,walkthrough ADDENDUM SPOILER THE SECRET via RBR 3.5.5,Breaches I = 0: OPEN 3.5-G
3.5-09,3.5,YARD,"Laundry line, pegs, laundry (drift: laundry count)",DRESSING,drift,NO,,none,line 6.0 at 1.7 high; garments 0.6-0.9,RW,"posts (200, 1700) and (800, 1700) proposed","Poly Haven search 'clothes line' / 'towel' (verify ids); cloth under the M_Wool family, compound neutrals",CC0 / Bespoke,RB YARD keynote + drift,
3.5-10,3.5,YARD,Pallets x2 by the tower base,DRESSING,,NO,,none,1.1 x 0.94 x 0.15 (three slats 1.1 x 0.05 x 0.24 at 0.35 pitch),REF,"(-650, 1300, 6) [Godot (-6.5, 0.06, 13.0)]",Fab search 'wooden pallet' (Megascans),Fab Standard,WB 1244-1254,"Second pallet at Godot (-6.2, 0.06, 15.6)"
3.5-11,3.5,YARD,Rita's car (locked in by the club's van from the T4 lockdown; inspecting it then updates flavour),DRESSING,state,NO,RI s1: T1 · inspect (I = 0 - OPEN 3.5-F),none,~4.4 x 1.7 x 1.4 (1970s sedan),RW,"(1200, 1100, 0) nose -X proposed, or beyond the box per OPEN 3.5-A",Fab search 'sedan 70s'; Poly Haven search 'car' (verify id); wear pass mandatory,Fab Standard / CC0,RI s1,
3.5-12,3.5,YARD,"The club's van (its absence is the ENTRY's sound bed; present from the T4 lockdown, blocking Rita's car)",DRESSING,state,NO,,none,~5.0 x 2.0 x 2.0,RW,OPEN whether it is ever visible,Fab search 'van 70s',Fab Standard,RB ENTRY bed 'the delivery van's absence'; RI s1 'Rita's car',OPEN 3.5-H
3.5-13,3.5,YARD,"Hand-painted sign over the steel entry door: THE 58 CLUB, EST. WITH LOVE",DRESSING,,NO,RI s1: T1 · inspect,none,1.2 x 0.4,RW,"above the ENTRY door on the yard face (0, 1005, 275) proposed","Bespoke plywood board, painted letters in albedo, three wear states [AB s3]",Bespoke,RI s1; game master T1.1,
3.5-14,3.5,YARD,Gravel lot floodlight (T2 operate; draws from the amperage budget: a trap for the generous),INTERACTABLE,practical · operable,OPEN,RI s1: T2 · operate,none,pole 4.0; head 0.3,RW,"(1300, 1050, 0) by the car proposed",Fab search 'floodlight pole industrial'; head M_Practical,Fab Standard,RI s1,Breaches I = 0 and is not in the data: OPEN 3.5-D
3.5-15,3.5,YARD,Shed door (yard face) with padlock hasp and the EDITH tag - LOCKED per Doors.csv,INTERACTABLE,door · locked,YES,door verb; key EDITH,Doors.csv YARD-SHED 'PADLOCKED · the tag reads EDITH · a key exists'; GT 655,door 1.2 wide; padlock 0.05; hasp 0.15,RW,"gap (850, 1400) in the shed's -X face",Padlock + hasp bespoke or Fab search 'padlock'; felt EDITH tag in a child's hand,Bespoke / Fab Standard,"Doors.csv; RI s1 'The shed'; RB SHED 'padlock hasp (unlocked, always)'","Locked (data) vs 'unlocked, always' (RB): OPEN 3.6-A"
3.5-16,3.5,YARD,Packed dirt with the two worn path legs (entry door to the middle; to the shed door),SURFACE,,NO,,none,"dirt 29.6 x 7.6; leg 1 1.1 x 4.2 at (0, 1240); leg 2 8.6 x 1.1 at (420, 1400)",REF,"(0, 1400, 2) [Godot (0.0, 0.015, 14.0)]","Megascans 'gravel ground' over 'packed dirt' (MI_Yard_Ground, MI_Yard_Path)",Fab Standard,WB 1309-1333,
3.5-17,3.5,YARD,"Sky: moonless night; overcast by day (no sodium, no moon)",SURFACE,sky,NO,,none,-,OPEN,,"SkyAtmosphere restored for the yard only, motivated",-,LB STATES NIGHT 'moonless windows'; AB s8 Day; RBR 3.5.3,OPEN 3.5-C (the yard by day); OPEN 0-D (sodium spill)
3.5-18,3.5,YARD,"Hose reel, coal scuttle, bench by the door, bird feeder, coax spool (dressing mass to the 8 cap)",DRESSING,,NO,,none,various,RW,,Fab / Poly Haven searches (verify ids),Fab Standard / CC0,RBR 3.5.6 P5 (proposal),"Proposal, not canon"
3.6-01,3.6,SHED,"Edith Craik's overflow boxes -> the QUIET ROOM key (felt-wrapped, tagged FOR THE QUIET ROOM)",INTERACTABLE,hero · pickup,YES,T4 · take,GT 679-680; WB 782,box 0.4 x 0.3 x 0.3; key 0.06-0.08 (REF key_prop oversized - OPEN 0-H),RW / REF,"(1000, 1400, 50) [Godot (10.0, 0.5, 14.0)]",Bespoke cardboard boxes (Fab 'cardboard boxes' starter) + key_prop; felt wrap under the M_Wool family,Fab Standard / Bespoke,RI s1 'Edith Craik's overflow boxes'; WB 781-782; GT 679-680; Doors.csv key id QUIET ROOM,The room's one I; the DEAD ROOM KEY of RI s1 = key id QUIET ROOM in the data
3.6-02,3.6,SHED,"Child's drawings of Chum, pre-show (in the boxes)",DRESSING,lore host (RI-only),NO,,none,0.216 x 0.279,RW,in the boxes,"M_Paper, crayon albedo",Bespoke,RI s1,Not in LL: OPEN 3.6-B tier
3.6-03,3.6,SHED,"Padlock hasp on the door's inside face (RB: unlocked, always; drift: the hasp's angle)",DRESSING,drift,NO,,none,hasp 0.15; padlock 0.05,RW,the door,part of the shed door build,Bespoke,RB SHED keynote + drift,Contradicts Doors.csv PADLOCKED · EDITH: OPEN 3.6-A
3.6-04,3.6,SHED,Single bulb on a pull chain,DRESSING,practical,NO,,none,bulb 0.06 dia; chain 0.3,RW,"ceiling centre (1000, 1400, 290) proposed",Bespoke socket + true bulb (M_Practical); chain in maps,Bespoke,"RB SHED 'Single bulb, pull chain'",EV OPEN
3.6-05,3.6,SHED,Shelf of paint cans (x3) with the reason you came; a broom,DRESSING,,NO,,none,shelf 0.3 x 0.04 x 2.4 at 1.2 high; cans 0.16 dia x 0.2; broom 1.5,REF,"(1120, 1400, 120) [Godot (11.2, 1.2, 14.0)]",Fab search 'paint can' / 'broom'; Poly Haven search 'paint bucket' (verify id),Fab Standard / CC0,WB 1411-1446,"Broom at Godot (8.9, 0.75, 15.1)"
3.6-06,3.6,SHED,"Paint can labelled STAGE FLOOR '74 with a clean brush balanced across it, hardened mid-care",LORE-AMBIENT,T4,NO,never prompts,none,can 0.17 dia x 0.19 (1 gal); brush 0.25,RW,the shelf,label M_Paper; hardened bristles in normal map,Bespoke,LL SHED [T4],
3.6-07,3.6,SHED,"Rod stock in a coil, felt scraps snagged on the cut ends",LORE-AMBIENT,"T4, T1",NO,never prompts,none,coil 0.5 dia; rod 0.006,RW,floor corner,AmbientCG Rope002 (verified 2026-09-04 per Phase 1 brief) for the coil as a curve; felt scraps alpha cards,CC0 / Bespoke,"LL SHED [T4, T1]",
3.6-08,3.6,SHED,"Pencil tally marks inside the door, groups of five, stopping at fifty-eight",LORE-AMBIENT,HC,NO,never prompts,none,decal 0.3 x 0.4,RW,the door's inner face,"decal, graphite albedo",Bespoke,LL SHED [HC],
3.6-09,3.6,SHED,Stencilled initials gone illegible,DRESSING,keynote,NO,,none,decal 0.2,RW,door / wall,decal,Bespoke,RB SHED keynote,
3.6-10,3.6,SHED,"Tools that predate everyone (bed: paint cans, wasp-quiet)",DRESSING,,NO,,none,hand tools 0.2-0.6,RW,wall / shelf,Fab search 'hand tools vintage'; Poly Haven search 'tools' (verify id),Fab Standard / CC0,RB SHED personality,
3.6-11,3.6,SHED,"Surfaces: 3 x 3 x 3 box; corrugated / painted wood siding outside, bare studs inside",SURFACE,,NO,,none,9 m2 floor,REF (Rooms.csv),,Megascans 'corrugated metal' / 'painted wood siding' (MI_Shed_Ext); concrete floor,Fab Standard,Rooms.csv; RBR 3.5.4,
3.7-01,3.7,CORRIDOR,S1 at the library mouth (RB keynote),INTERACTABLE,station (data places it in TAPE LIBRARY),YES,T1 · sign,GT 485-486,lectern per S5,REF,"Stations.csv puts S1 LIBRARY LANDING at Godot (-1.2, 0, -11.8), i.e. inside TAPE LIBRARY",see TAPE LIBRARY row,Bespoke,RB CORRIDOR keynote 'S1 at the library mouth'; Stations.csv S1,Counted in TAPE LIBRARY by the data; the corridor's I cap of 1 is then unused: OPEN 3.7-A
3.7-02,3.7,CORRIDOR,Notice board (drift: papers),DRESSING,drift · ambient host,NO,,none,0.9 x 0.6,RW,"a long wall, mid-run (-148, -750, 160) proposed",Fab search 'cork board'; papers M_Paper,Fab Standard,RB CORRIDOR keynote + drift,
3.7-03,3.7,CORRIDOR,"Yellowed memo: FOUND PROPERTY, ONE CHILD'S MITTEN, UNCLAIMED, dated three years before the fire, initialled and never taken down",LORE-AMBIENT,T2,NO,never prompts,none,0.216 x 0.279,RW,the notice board,"M_Paper, yellowed",Bespoke,LL CORRIDOR [T2],Rhymes with the desiccated mitten in CLIMATE (RI s7) - never stated
3.7-04,3.7,CORRIDOR,Floor wax history: beneath the newest wax an older traffic lane bends toward the dead room's door,LORE-AMBIENT,"T7 adjacent, HH",NO,never prompts,none,lane 0.6 wide,RW,floor,roughness/normal lane under the wax layer,Bespoke,LL CORRIDOR; RB CORRIDOR keynote 'floor wax history',"The dead room (19, 2.5) is nowhere near the corridor (0, -7.5): OPEN 3.7-B"
3.7-05,3.7,CORRIDOR,"S1's chained pen: the chain replaced twice, the pen never",LORE-AMBIENT,"ritual, HC",NO,never prompts,none,pen 0.14; chain 0.4,RW,S1 (TAPE LIBRARY by data),chain in maps; two chain generations by roughness,Bespoke,"LL CORRIDOR [ritual, HC]",Follows S1 wherever 3.7-A rules
3.7-06,3.7,CORRIDOR,"Spaced tungsten fixtures with authored gaps (bulbs die per casualty, B-R2)",DRESSING,practical · state,NO,,none,ceiling fixture 0.25 dia,RW,count and gap positions OPEN,Bespoke fixtures with true bulbs; Fab search 'ceiling light industrial vintage',Bespoke / Fab Standard,RB CORRIDOR; LB UE5 'CORRIDORS spaced tungsten with authored gaps'; reaction matrix B-R2 via RB web,EV OPEN
3.7-07,3.7,CORRIDOR,"CAM 1 · CORRIDOR camera mount + tally lamp (the rig at (0, 2.4, -10.6) looking at (0, 1.2, -4.5))",INTERACTABLE,camera rig · route/read,OPEN,RI GLOBAL: T2 · route/read,Monitors.csv 'CAM 1 · CORRIDOR',camera 0.3 x 0.3 x 0.5; tally 0.05 dia,RW,"(0, -1060, 240) [Godot (0.0, 2.4, -10.6)]",Bespoke security/studio camera; tally M_Practical red (red = watched),Bespoke,Monitors.csv; WB 316-324; RI GLOBAL 'Camera mounts + tally lamps'; LB GRAMMAR,Tallies are shape-coded [RI GLOBAL]; kills persist until re-patched
3.7-08,3.7,CORRIDOR,Surfaces: 3 x 7 spine; waxed floor with the older lane,SURFACE,,NO,,none,21 m2 floor,REF (Rooms.csv),,Megascans linoleum / 'waxed floor' (MI_Corridor_Floor); painted plaster; skirting,Fab Standard,Rooms.csv,
3.8-01,3.8,TAPE LIBRARY,Compactus rolling stacks (player-cranked moving walls; the T3 chase geometry; noise draws attention at night),INTERACTABLE,operate,OPEN,RI s6: T1 · operate,none,"RW compactus range 0.9-1.0 per bay, 2.2 high, 0.6 deep double-sided; REF four FIXED tape_shelf 3.0 x 2.2 x 0.42",RW / REF,"(-320, -1320, 0) [Godot (-3.2, 0.0, -13.2)]",Fab search 'archive shelving' / 'metal shelving' (starter set); crank wheel bespoke,Fab Standard / Bespoke,RI s6; prop_kit.gd tape_shelf 387-415; WB 1203-1216; RB TAPE LIBRARY 'chapel of holdings',"Rolling (RI) vs fixed (reference) - OPEN 3.8-A. Other shelves at Godot (3.2,-13.2) (-3.2,-18.8) (3.2,-18.8)"
3.8-02,3.8,TAPE LIBRARY,Reel shelving + canisters: accession spines (browsable; retrieval objectives; one mislabelled decade),DRESSING,ambient host (RI: inspect/take),NO,RI s6: T1 · inspect/take (OPEN 3.8-E),none,spines 0.035-0.06 x 0.24-0.30 x 0.30 (REF); RW 2-inch quad reel box 0.38 x 0.38 x 0.08; 16 mm can 0.19-0.38 dia,REF / RW,the stacks,Spine rows as instanced meshes with seeded jitter (tape_shelf); labels M_Paper; Fab search 'film reel canister',Bespoke / Fab Standard,RB TAPE LIBRARY keynote; RI s6; prop_kit.gd 402-414,
3.8-03,3.8,TAPE LIBRARY,"The accession skip cluster, findable by anyone who runs a finger down the spines",LORE-AMBIENT,T5,NO,never prompts,none,a gap in the numbering on the spines,RW,one shelf run,spine labels in albedo; numbers skip 0118-0121 per D03,Bespoke,LL TAPE LIBRARY [T5]; RB keynote 'the skip cluster findable'; PP D03,
3.8-04,3.8,TAPE LIBRARY,A spine reversed (drift),DRESSING,drift,NO,,none,one spine,REF,the stacks,state on one instanced spine,Bespoke,RB TAPE LIBRARY drift,
3.8-05,3.8,TAPE LIBRARY,Card catalog (search aid; Leland's cross-reference cards in green),INTERACTABLE,operate,OPEN,RI s6: T1 · operate,none,60-drawer cabinet 0.85 x 0.45 x 1.3,RW,near S1 proposed,Fab search 'card catalog cabinet'; Poly Haven search 'drawer' (verify id),Fab Standard / CC0,RI s6; RB keynote 'card catalog',OPEN 3.8-E (cap)
3.8-06,3.8,TAPE LIBRARY,"Card catalog drawer G: one card's corner scissored off cleanly, the cut older than the dust",LORE-AMBIENT,T5,NO,never prompts,none,card 0.125 x 0.075,RW,"drawer G, ajar",M_Paper; dust via roughness,Bespoke,LL TAPE LIBRARY [T5],
3.8-07,3.8,TAPE LIBRARY,"Donations ledger line in Merle's hand: 27 REELS, ANONYMOUS, WATER DAMAGE, DO NOT ACCESSION, M.C. (no reels answer to it)",LORE-AMBIENT,T5 (missable forever),NO,never prompts,none,ledger book 0.35 x 0.25,RW,OPEN where the donations ledger sits (not the bench's D03),M_Paper,Bespoke,LL TAPE LIBRARY [T5],OPEN 3.8-F
3.8-08,3.8,TAPE LIBRARY,S1 LOG STATION · LIBRARY LANDING (first save taught here; binder's first green note on first open),INTERACTABLE,station,YES,T1 · sign,GT 485-486,lectern per S5,REF,"(-120, -1180, 0) [Godot (-1.2, 0.0, -11.8)]",Bespoke lectern family,Bespoke,Stations.csv S1; RI s6; WB 283-304,RB homes S1 in the CORRIDOR: OPEN 3.7-A
3.8-09,3.8,TAPE LIBRARY,Station log drawer (airdate-math source one of four),DRESSING,lore host (RI-only),NO,RI s6: T2 · inspect,none,drawer 0.4 x 0.15 x 0.5,RW,in or beside S1,bespoke,Bespoke,RI s6; player routing airdate circuit,OPEN 3.8-G tier
3.8-10,3.8,TAPE LIBRARY,"FILM CABINET (media alcove flat file; LOCKED, key TRAINING; PRESERVE key / FORCE pry; runs the 1971 orientation film)",INTERACTABLE,locked · operate,YES,T2 · operate,GT 118-122,"0.7 x 1.4 x 0.7, four drawer faces 0.62 x 0.28 (second sits proud)",REF,"(-540, -1900, 70) [Godot (-5.4, 0.7, -19.0)]",Fab search 'metal filing cabinet vintage'; painted steel M_Enamel,Fab Standard,WB 858-897; GT 118-120; RI s6,Second I of two
3.8-11,3.8,TAPE LIBRARY,16 mm projector for the instructional film (RI) - the reference runs the film FROM the cabinet,INTERACTABLE,operate (RI-only),OPEN,RI s6: T2 · operate,none,as the REC projector,RW,media alcove,as the REC projector,CC0 / Bespoke,RI s6,OPEN 3.8-B: a second projector or the cabinet itself
3.8-12,3.8,TAPE LIBRARY,"D06 HARRIET'S NOTE (film-cabinet index card, pencil, exhausted capitals; the seventh signal) - props packet home",LORE-HANDLED,readable D06 · post-training-film gate,YES,read,GT 218,index card 0.125 x 0.075,RW,"film cabinet (PP); reference at REC (2.8, 0.55, 2.2); RB says GREEN ROOM",M_Paper,Bespoke,PP D06; RB GREEN ROOM 'D06's home'; WB 899-915,OPEN 3.8-C (three homes)
3.8-13,3.8,TAPE LIBRARY,"DAILIES canisters (SPAWN one per capture, labelled SCENE 4 TAKE n; carry to the CLIMATE degausser; unburned feed the Coverage Director)",INTERACTABLE,pickup · SPAWN · DYN,YES,SPAWN · take,"GT 79, 159",canister 0.6 dia x 0.16 collision (REF); RW 2-inch reel box 0.38 sq or 16 mm can 0.19 dia,REF / RW,"(-350, -1400, 35) [Godot (-3.5, 0.35, -14.0)]",Bespoke canister with SCENE/TAKE label M_Paper,Bespoke,dailies_manager.gd SLOTS 5-9; RI s6; GT 79,"Slots at Godot (-3.5,-14.0) (2.5,-18.5) (4.0,-13.0) (-4.5,-19.0) + 0.4 x per cycle. rooms_also: CLIMATE, BENCH ROOM"
3.8-14,3.8,TAPE LIBRARY,"Leland's desk (green pens, tidy abandonment; T3 reveals the mid-sentence final note)",DRESSING,DYN · lore host,NO,RI s6: T1 · inspect · DYN,none,1.2 x 0.6 x 0.75,RW,a stack end proposed,Poly Haven search 'desk' (verify id); pens bespoke,CC0 / Bespoke,RI s6,
3.8-15,3.8,TAPE LIBRARY,"D01 LELAND MERRICK'S CATALOG NOTES (green ink, four steno pages; page 4 inside the seance reel's box, gated by the crate)",LORE-HANDLED,readable D01,YES,read (pages 1-3 here; page 4 with the reel),none in the reference (not built),steno sheets 0.15 x 0.23,RW,PP: LIB compactus; RB: SCENE DOCK 'D01's shelf',M_Paper; fountain-pen green albedo,Bespoke,PP D01; RB SCENE DOCK keynote,OPEN 3.8-D (home); not in world_builder.gd
3.8-16,3.8,TAPE LIBRARY,Rail ladder (vertical stack access; creaks on a fixed note),DRESSING,RI: operate,OPEN,RI s6: T1 · operate,none,rolling ladder 2.4 high,RW,a stack run,Fab search 'library ladder',Fab Standard,RI s6,OPEN 3.8-E (cap)
3.8-17,3.8,TAPE LIBRARY,"Stack-end lamps (cool practicals); bed: HVAC breath, ballast tick",DRESSING,practical,NO,,none,lamp 0.3,RW,one per stack end proposed,Fab search 'industrial lamp'; M_Practical,Fab Standard,"RB TAPE LIBRARY 'Cool practicals, stack-end lamps'",EV OPEN
3.8-18,3.8,TAPE LIBRARY,"CAM 2 · STACKS camera mount + tally (rig at (0, 2.4, -20.4) looking at (0, 1.2, -12.0); its monitor sits in the BENCH ROOM)",INTERACTABLE,camera rig · route/read,OPEN,RI GLOBAL: T2 · route/read,Monitors.csv 'CAM 2 · STACKS',camera 0.3 x 0.3 x 0.5; tally 0.05,RW,"(0, -2040, 240) [Godot (0.0, 2.4, -20.4)]",Bespoke camera; tally M_Practical,Bespoke,Monitors.csv; RI GLOBAL,
3.8-19,3.8,TAPE LIBRARY,"Surfaces: 12 x 10; floor, walls, ceiling",SURFACE,,NO,,none,120 m2 floor,REF (Rooms.csv),,Megascans industrial concrete / linoleum (MI_TapeLibrary_Floor); painted brick (MI_TapeLibrary_Wall),Fab Standard,Rooms.csv; FAB-IMPORT starter,RB web 'the crate lives deep' - which crate is OPEN 3.8-H
3.9-01,3.9,BENCH ROOM,THE BENCH: workbench with the tape transport (reel deck) - capture runs real time,INTERACTABLE,hero,YES,T1 · operate,"GT 48, 183",top 1.8 x 0.08 x 0.8 at 0.92 high; legs 0.08 sq x 0.92; reel deck 0.72 x 0.5 x 0.16 (REF); RW a 2-inch quad VTR (Ampex VR-2000 class) is a console 1.65 high x 1.2 x 0.75,REF / RW,"(900, -1760, 50) [Godot (9.0, 0.5, -17.6)]",Bespoke (Blender): no CC0 quad VTR exists; Poly Haven search 'reel to reel' (verify id) for a donor deck,Bespoke / CC0,WB 327-366; prop_kit.gd reel_deck 294-322; RB BENCH ROOM 'THE BENCH'; RI s8; AB s7 BENCH,OPEN 3.9-A: the reference deck is a bench-top audio deck while the ledger's '2in master' [PP D03] implies quad; scale truth undecided
3.9-02,3.9,BENCH ROOM,Bench monitor / monitor bank (the room's only saturated light),DRESSING,event · phosphor,NO,RI s8: T1 · inspect,none,REF crt_shell; RW 19-inch broadcast monitor 0.5 x 0.45 x 0.45,REF / RW,"(900, -1882, 155) [Godot (9.0, 1.55, -18.82)]",prop_kit crt_shell brief; M_Phosphor; Fab search 'crt monitor vintage',Bespoke / Fab Standard,WB 367-370; AB s7 BENCH; RI s8 'Monitor bank',
3.9-03,3.9,BENCH ROOM,GEN KNOB (cycle the generation shown),INTERACTABLE,knob,YES,T1 · operate,GT 191,REF 0.2 dia x 0.12; RW knob 0.05 dia,REF / RW,"(1020, -1850, 100) [Godot (10.2, 1.0, -18.5)]",Bespoke; fluted brass cap (prop_kit knob),Bespoke,WB 371-389; GT 191,OPEN 3.9-C (I count)
